id,genbank,assembly_genbank,taxid,Kingdom,Phylum,Class,Order ,Family,Genus,Species,species_code,genus_code
MMP02743545,CP008849.1,GCA_000730385.1,589873,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas australica,40,25
MMP05991975,CP018023,GCA_001886375.1,1917157,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas gracilis,41,25
MMP08125767,CP025115,GCA_002831605.1,2058133,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas hispanica,42,25
MMP05992015,CP018031,GCA_001886475.1,1917158,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas hispanica,42,25
MMP02604121,CP003844.1,GCA_000299955.1,1004788,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas macleodii,43,25
MMP02603229,CP003841.1,GCA_000172635.2,529120,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas macleodii,43,25
MMP02604120,CP003873.1,GCA_000300175.1,1004787,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas macleodii,43,25
MMP12078926,CP041170,GCA_006517115.1,314275,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP05991972,CP018024,GCA_001886395.1,314275,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP05991974,CP018029,GCA_001886435.1,314275,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP05991969,CP018026,GCA_001886455.1,314275,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP05991973,CP018027,GCA_001886415.1,314275,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP12078919,CP041169,GCA_006517095.1,314275,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604119,CP003917.1,GCA_000310085.1,1004786,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604124,CP004846.1,GCA_000439475.1,1300253,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604122,CP004848.1,GCA_000439495.1,1300254,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604123,CP004849.1,GCA_000439515.1,1300255,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604128,CP004851.1,GCA_000439535.1,1300256,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604125,CP004852.1,GCA_000439555.1,1300257,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604126,CP004853.1,GCA_000439575.1,1300258,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02604127,CP004855.1,GCA_000439595.1,1300259,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP02603915,CP001103,GCA_000020585.3,1774373,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,44,25
MMP5065789,LR136958,GCA_900654235.1,2358187,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas naphthalenivorans,45,25
MMP02603134,CP002339,GCA_000213655.1,715451,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas naphthalenivorans,45,25
MMP09780815,CP031967,GCA_003443615.1,1714845,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas sp003443615,46,25
MMP04098991,CP013120,GCA_001433715.1,1160720,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas stellipolaris,47,25
MMP04874701,CP015346,GCA_001632825.1,233316,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas stellipolaris,47,25
MMP04874702,CP015345,GCA_001632765.1,233316,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas stellipolaris,47,25
MMP09630237,CP031010,GCA_003584565.2,2267264,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas_B sp002729795,48,26
MMP03377048,CP011003,GCA_001044375.1,1623449,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,BACL14,BACL14 sp001044335,69,44
MMP03377046,CP011001,GCA_001044335.1,1623448,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,BACL14,BACL14 sp001044335,69,44
MMP03377047,CP011002,GCA_001044355.1,1623450,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,BACL14,BACL14 sp001044335,69,44
MMP07372106,CP022530,GCA_002237535.1,1249553,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Bacterioplanes,Bacterioplanes sanyensis_A,83,49
MMP04604227,CP015163,GCA_003312875.1,1804986,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis albispora,49,27
MMP04437875,CP014223,GCA_001561955.1,991789,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum propionicum,50,28
MMP12257642,CP041660,GCA_007289895.1,1740262,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Catenovulum,Catenovulum sediminis,98,62
MMP08222609,CP026365,GCA_004116995.1,1215031,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus_G,52,30
MMP05285382,CP016379,GCA_003991135.1,1323375,Bacteria,Firmicutes_F,Halanaerobiia,DY22613,DY22613,Anoxybacter,Anoxybacter fermentans,53,31
MMP11935687,CP040812,GCA_006159205.1,2058175,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Antarcticibacterium,Antarcticibacterium flavum,54,32
MMP00777080,LT838813,GCA_900176595.1,758820,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Aquiflexum,Aquiflexum balticum,55,33
MMP09780817,CP031965,GCA_003443715.1,1714849,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina aggregata,56,34
MMP09780816,CP031966,GCA_003443695.1,1714848,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina latercula,57,34
MMP09780819,CP031963,GCA_003443675.1,1714860,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina sp003443675,58,34
MMP06240846,CP019606,GCA_001997345.1,1332264,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Arachnia,Arachnia aquimaris,59,35
MMP06245885,CP019607,GCA_001998865.1,399497,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Arachnia,Arachnia flavescens,60,35
MMP04489737,LT629804,GCA_900105865.1,131112,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium phocae,61,36
MMP03081472,CP006577.1,GCA_000734035.1,1344584,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,62,37
MMP02603985,AE000782.1,GCA_000008665.1,224325,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,62,37
MMP00017459,CP001857.1,GCA_000025285.1,572546,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus_B profundus,63,38
MMP00713598,CP002588.1,GCA_000194625.1,693661,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus_C veneficus,64,39
MMP09208224,CP029480,GCA_003258705.1,1784714,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcticibacterium,Arcticibacterium luteifluviistationis,65,40
MMP03196588,CP007595.1,GCA_000785535.1,1494608,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter_A sp000785535,66,41
MMP02641594,CP001842.1,GCA_000025125.1,1453429,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Atelocyanobacterium,Atelocyanobacterium thalassa,67,42
MMP11835398,CP040749,GCA_006065315.1,2584122,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureibaculum,Aureibaculum sp006065315,68,43
MMP09210930,CP029554,GCA_003325495.1,2202141,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,Chromobacterium sp003325495,114,72
MMP09210928,CP029495,GCA_003325475.1,2202141,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,Chromobacterium sp003325495,114,72
MMP02598275,CP000285,GCA_000055785.1,290398,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,Chromohalobacter israelensis,115,73
MMP11621488,CP040747,GCA_006007905.1,293387,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus altitudinis,70,45
MMP06016472,CP018197,GCA_001895885.1,561879,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus safensis,71,45
MMP13053465,CP045425,GCA_009363835.1,1423,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,72,45
MMP11519450,CP039935,GCA_005234095.1,1423,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,72,45
MMP09500751,CP030925,GCA_003324735.1,96241,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,72,45
MMP08143214,CP029052,GCA_003265285.1,135461,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,72,45
MMP09273200,CP029609,GCA_004328925.1,135461,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,72,45
MMP03272513,CP010406.1,GCA_000815145.1,1446792,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis,73,45
MMP09428134,CP030097,GCA_003312895.1,1390,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis,73,45
MMP05517979,CP017775,GCA_001857985.1,492670,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis,73,45
MMP10739311,CP040344,GCA_009740005.1,2026189,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A albus,74,46
MMP09789252,CP031643,GCA_003410355.1,1392,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A anthracis,75,46
MMP09789251,CP031642,GCA_003410255.1,1392,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A anthracis,75,46
MMP11621489,CP042929,GCA_008041975.1,1396,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A cereus,76,46
MMP13028232,CP045537,GCA_009429025.1,2654326,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A paranthracis,77,46
MMP07593956,CP023179,GCA_002290105.1,1396,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A paranthracis,77,46
MMP13028231,CP045533,GCA_009429005.1,2654284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A paranthracis,77,46
MMP10819077,CP040334,GCA_009739925.1,1396,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A thuringiensis,78,46
MMP12697402,CP043830,GCA_008432245.1,2608254,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A toyonensis,79,46
MMP10058771,CP032365,GCA_008807735.1,1890302,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus,Bacillus_A wiedmannii,80,46
MMP02604281,CP006643.1,GCA_000473245.1,1367477,Bacteria,Firmicutes,Bacilli,Bacillales_B,DSM-18226,Bacillus,Bacillus_AB infantis,81,47
MMP11621490,CP040441,GCA_005671335.1,86665,Bacteria,Firmicutes,Bacilli,Bacillales_H,Bacillaceae_D,Bacillus,Bacillus_M halodurans,82,48
MMP11282944,CP038469,GCA_004684345.1,2562449,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sp004684345,116,74
MMP09470679,CP030887,GCA_006969905.1,2053516,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola,Balneola sp006969905,84,50
MMP02743506,CP007656.1,GCA_000691605.1,959,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio bacteriovorus,85,51
MMP02232009,CP003281.1,GCA_000265405.1,866536,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Belliella,Belliella baltica,86,52
MMP02261370,CP003345.1,GCA_000265505.1,880071,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,Bernardetia,Bernardetia litoralis,87,53
MMP09396997,CP030032,GCA_003258315.1,1548548,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,88,54
MMP09428648,CP030797,GCA_006385015.1,1703,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium sediminis,89,55
MMP08773154,CP028367,GCA_003032495.1,2136172,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Cobetia,Cobetia amphilecti,118,76
MMP08912473,CP028924,GCA_003061515.1,2161872,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Cognaticolwellia,Cognaticolwellia sp003061515,119,77
MMP04255090,CP013145,GCA_001444365.1,58049,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,Colwellia marinimaniae,121,79
MMP02604001,CP000083,GCA_000012325.1,167879,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,Colwellia psychrerythraea_A,122,79
MMP10954015,CP036276,GCA_007747995.1,2527995,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,CA54,CA54,CA54 sp007747995,91,57
MMP05946030,CP018099,GCA_001886815.1,880073,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,Caldithrix abyssi,92,58
MMP48403168,LR134471,GCA_900637885.1,260714,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_D insulaenigrae,93,59
MMP03580996,CP011372,GCA_001017575.1,201,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_D lari_C,94,59
MMP03248547,CP007766.1,GCA_000816785.1,1388753,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_D peloridis,95,59
MMP12990248,CP045040,GCA_009738125.1,2751,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium maltaromaticum,96,60
MMP02603266,CP002563,GCA_000195575.1,208596,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium_A sp000195575,97,61
MMP04562546,CP014944,GCA_001767295.1,1816218,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,Colwellia_A sp001767295,123,80
MMP02603953,CP003230.1,GCA_000299965.1,385025,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,Cycloclasticus pugetii,138,89
MMP07682729,CP023664,GCA_002443175.1,728003,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,Cycloclasticus pugetii,138,89
MMP02603046,CP005996.1,GCA_000442595.1,1198232,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,Cycloclasticus pugetii,138,89
MMP08931231,CP028897,GCA_003072645.1,2047966,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Dongshaea,Dongshaea marina,164,110
MMP00190054,CP002453,GCA_000186265.1,688270,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga algicola,103,64
MMP02208950,CP009887.1,GCA_000477035.2,1348585,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica,104,64
MMP02208949,CP009976.1,GCA_000468615.2,1348584,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica,104,64
MMP02937577,CP009239.1,GCA_000750195.1,979,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga lytica,105,64
MMP04620658,CP015172,GCA_001941605.1,979,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga lytica,105,64
MMP00713590,CP002534,GCA_000190595.1,867900,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga lytica,105,64
